date,tic,open,high,low,close,volume,day,kdjk,kdjd,kdjj,rsi_6,rsi_12,rsi_24,amount,change,daily_variance,open_,close_,high_,low_,volume_,landmark
2014-12-26,600122.SH,7.0962,7.265,7.0566,7.2451,266445.56,1641,34.9492,33.8388,37.1698,59.0422,56.7494,57.5293,1930424.7268,0.0206,0.0288,0.847,1.5952,1.2277,1.2033,0.8371,^
2014-12-29,600122.SH,7.3444,7.3841,7.0764,7.1161,275389.78,1642,36.0447,34.5741,38.9859,51.2295,53.0172,55.4716,1959701.2135,-0.0321,0.0432,1.9455,1.1819,1.9367,1.4088,1.0268,-
2014-12-30,600122.SH,7.0863,7.1359,6.9474,6.9772,197636.62,1643,35.4492,34.8658,36.6159,43.7494,49.2152,53.3284,1378950.2251,-0.0156,0.027,1.0949,0.6003,0.949,0.9375,-0.0274,v
2014-12-31,600122.SH,7.0069,7.1558,6.9474,7.1161,177866.32,1644,43.3295,37.6871,54.6145,52.1358,52.8999,55.1371,1265714.5198,0.0153,0.0293,0.8237,1.359,1.1554,1.0155,-0.2565,-
2015-01-05,600122.SH,7.1459,7.265,7.0069,7.2054,325656.96,1645,53.1269,42.8337,73.7134,57.0734,55.1806,56.2739,2346488.6596,0.0083,0.0358,1.5691,1.9641,1.89,1.4166,1.8625,^
2015-01-06,600122.SH,7.126,7.1657,7.0169,7.1161,230429.78,1646,55.1147,46.9274,71.4894,50.7866,52.412,54.8243,1639761.3575,-0.0014,0.0209,1.6325,1.7648,1.5512,1.6205,0.6973,-
2015-01-07,600122.SH,7.0962,7.3047,7.0566,7.1856,288607.82,1647,59.9762,51.277,77.3747,55.3771,54.3564,55.75,2073820.3514,0.0124,0.0345,1.6966,2.4447,2.5842,2.0479,1.6653,-
2015-01-08,600122.SH,7.1955,7.2054,6.8878,6.8978,285404.66,1648,40.6558,47.7366,26.4942,37.8383,45.8867,51.2153,1968664.2637,-0.0432,0.046,2.4866,1.1218,2.6548,1.4596,1.8557,-
2015-01-09,600122.SH,6.9176,7.0169,6.7985,6.8283,207916.62,1649,28.8001,41.4244,3.5515,34.6574,44.0774,50.1866,1419717.0563,-0.0131,0.032,1.3653,0.7675,1.7715,1.0956,0.7332,-
2015-01-12,600122.SH,6.8084,6.9077,6.6199,6.729,165314.41,1650,23.9589,35.6026,0.6715,30.2915,41.5253,48.7275,1112400.6649,-0.0118,0.0428,0.7904,0.2171,0.9703,0.1129,0.0221,-
2015-01-13,600122.SH,6.739,6.8283,6.6596,6.7985,105640.97,1651,24.6661,31.9571,10.0842,36.9612,44.0009,49.7935,718200.1345,0.0088,0.0248,0.434,0.7086,0.4066,0.4126,-0.9193,-
2015-01-14,600122.SH,6.7787,6.868,6.729,6.7787,96157.07,1652,24.1738,29.3627,13.7961,35.7905,43.4295,49.4877,651819.9304,0.0,0.0205,0.7462,0.6744,0.7676,0.8769,-1.0427,-
2015-01-15,600122.SH,6.7985,6.9077,6.7787,6.8978,103149.44,1653,29.6429,29.4561,30.0167,47.7389,47.8718,51.363,711504.2072,0.0144,0.0187,0.9458,1.4326,1.1304,1.2558,-0.9342,-
2015-01-16,600122.SH,6.9077,6.9275,6.8283,6.8779,134234.26,1654,32.3204,30.4109,36.1394,46.0218,47.1963,51.0327,923249.8169,-0.0043,0.0144,1.6854,1.4666,1.3594,1.6763,-0.4819,-
